"text","positive","negative"
"i think iv hurt my tooth  and eilish and cassie are having a drawing competiton to draw cookies and pineapples haha :L .","0","0"
" I want to know when the auditions are Mander! Text or...reply please!","0","0"
"or even NOOOOO NOT THE SECRET NAMEREBECCA PLEASE","0","1"
" I miss my neice  can`t wait to see her bad n grown ****! Lol","0","1"
"i need to get my computer fixed","0","0"
"really hopes her car`s illness is not terminal...","0","1"
" no sir...i woulda put honey...but i don`t have any","0","0"
"who watched X-men origins: wolverine? i totally loved it! haha","1","0"
" I VOTED!!! do u have a personal myspace? i keep talking to fakes   i <3 you. u helped me thru the hrdest time of my life! (: x","1","0"
" I`m sad that I missed you guys last night!","0","1"
"Finally got a call for marriage counseling 3 days late....","0","0"
" ok then","0","0"
"_420 why baby?","0","0"
"today was the last day of high school for me and i ended up going home sick! ... stupid dead rats","0","1"
"We`re having an impromptu pool party... Except I don`t know how to swim so I can`t get in","0","0"
"lost my tooth 2day whilst i was eating gum...oww","0","1"
"happy 1 year! <3","1","0"
" *phew*  Will make a note in case anyone else runs into the same issueï¿½","0","0"
"  WHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!","0","1"
"I`m starving!! This diet is killing me but I can`t eat after 8pm","0","1"
" i talk to you","0","0"
"im soo bored...im deffo missing my music channels","0","1"
" nite nite bday girl  have fun at concert","1","0"
"_Sanderson What`s with Twatter lately?  Either I can`t get on or the replies don`t turn up!","0","0"
"should be sleeping.  lost my voice a couple day ago.","0","1"
"http://twitpic.com/66xlm -  hate when my PARKED car gets hit","0","1"
" I`ve heard this fall. I`m waiting too!","0","0"
" more nightmares?  *huggles*","0","0"
"I AM SUCH A CREEPER  I feel disappointed because of it. **** my cyberstalking skills   the internet = no more privacy.","0","1"
"going to bed its late and I have headache","0","1"
"happy mother`s day to all moms out there...","1","0"
"Grabbing coffee from  then making mom breakfast","0","0"
"im thinking that im going to have fun tonight....and maybe some changes are coming","1","0"
" thanks. before the major chop.","0","0"
"just got up and updated my ipod","0","0"
" yes! sober HAHAHA tanghaling tapat dude! haha WILD. i don`t knowwww  plan plan  before you go to US!","1","0"
" We never miss ICarly - my son has a huge crush on Miranda","1","0"
"Saw James carville in the store today. His head is really that bald","0","0"
"yellow for   ? http://blip.fm/~5z05g","0","0"
" which means you`re just going to have to come back to vancouver and have it our way! hahah","0","0"
"Feeling smooth like chrome","1","0"
"Ew traffic","0","1"
"@_Ra_Ra_ your not alone...i need coffee too.","0","0"
" Sounds like me","0","0"
"Bad day  The day you realize what mess you`ve put me through will be one of the happiest days of my life...","0","0"
"Walking to class. I hate not having a bike....especially mine.","0","1"
"_nesmith","0","0"
"happy mother`s day to all the mothers in the world.","1","0"
"Sleepy Tabz is heading to bed.  Fun night! Listened through the next episode of Joss`d!","1","0"
"The exception for a short dude: Larenz fineass Tate yum","0","0"
" Yes i work 6 to 3...","0","0"
"Done at the spa   now meeting vic for some late lunch!","0","0"
"Happy monday  up and about going to tavares today. Hope everyone has a blessed day!","1","0"
" Always have wanted to go to Oz","0","0"
" Thx","0","0"
" http://twitpic.com/4jaz5 - Cool... luv it","1","0"
"  that`s why I need to be there...To represent the Blackberries","1","0"
"Okay so I`m dedicating my 300th tweet to the fact that I`m going to the Apple store because there is a HUGE crack on the glass screen!","0","0"
" If only we could ever actually be allowed to stay here and do that","0","0"
" Let me know how that turns out!!","0","0"
" was that sass I detect?  As long as it isn`t back sass! Haha","0","0"
" Sports Bar Shatranjanpoli Rest Ph 26498457 All Sports Bar Andheri W 26733333 Dont know whether that helps. Google ki jai ho","0","0"
"I`m not sleeping at all until  accepts my appology","0","1"
"  #powerblog What is this powerblog challenge you keep talking about?  I`m a newbie follower","0","0"
"almost died. Laptop screen was set to 100% brightness after I reinstalled Windows Vista. Got a headache now  #insanedefaults","1","0"
"Waiting for tish to get off. Got to drive my moms CRV to pick her up all my myself and duckie. First time","0","0"
"going to shower because i don`t want to smell at school tomorrow","0","0"
" Sigh... you know I am...","0","0"
"Here are 4 FREE twitter tools will get you followers  http://short.to/511q http://jijr.com/hulz http://short.to/511r http://2ve.org/xPG0/","0","0"
"just got home from work.... and is chugging down a big bottle of apple juice.","0","0"
" Yes it does. Please dont` go. If you die I will cry.. which normally leads to small animals getting harmed","0","1"
"writing report cards  soooo tired but what an amazing day. check it out on fb soon!","1","0"
" it was only once for my big brother...and I`m done now","0","0"
"good news: finally finished my #EASactive workout that has been paused for 6 hours. bad news: my resistance band is torn","0","0"
"FTSK and Mercy Mercedes were amazing tonight.. as always","1","0"
"  hope he is ok!","1","0"
"can`t school just be done already? it hurts too much... seeing him every day","1","0"
" Hell Yeah!","0","0"
" HIM shirt at dinner? Do you need to ask??  Does it actually have Ville on it?","0","0"
" i know!!","0","0"
" huh what the ****? Smelly? Noooo. I love alex Vixon","0","0"
"HAPPY MOTHERS DAY.!","1","0"
"  Thanks","1","0"
"twittering after 2 days!","0","0"
"Getting ready for week  Its too nice today to be stuck inside working!","1","0"
"I am tres depressed","0","1"
"Happy Mothers Day people. i love my mom a lot still","1","0"
" I`m sorry to hear that.","0","1"
"Is getting the hang of Twitter.","0","0"
"You know your neck is jacked up when you are forced to pay for parking bc you can`t turn you head to parallel park in the free spaces...","0","1"
"I want it BACK NOW!: http://bit.ly/PP1WZ","0","0"
"Going to miss my roomie ... We will no longer be roomies starting tomorrow","0","1"
" HAHAHHA lol true that! i always remember my BD but i can never remember what date or even day it is","0","0"
"Watching Ellen Love her!! then doing the dishes  and tanning ...it`s gorgeous out!","1","0"
" what`s goin on hun?  I`m worried about you","0","1"
" Im not bannished... but I am at work till 6","0","1"
"tonight in party w/ my girls (minus vita)","1","0"
"  why not now you made me sad I thought you`d be jumping for joy","0","0"
" Simple my a#@","0","0"
" _ i am glad to break my twitter virginity with you two.","1","0"
"Dinner with the fam... I have missed them","0","1"
"Hell yeah Kellynn got a Twitter. Finally.","0","0"
"Ship. I`m stuck.","0","1"
"DUSTBIN BABY ON AT 11.30 Cannot wait  x","1","0"
"","0","0"
"It looks like the office TV DOES get MLB Network... and it looks like MLBN will NOT be televising the DET/BAL game today  #wieters","0","0"
"Home empty handed.  No comics found today.  I shall now indulge in my cupcakes from Magnolia Bakery.","0","0"
"Laying in bed til workkk... Oh the life. Definitely pinched a nerve.","0","1"
"today is a busy day. exhausting!","0","1"
" Sorry to hear ur flight got cancelled  that blows!!!","0","1"
"ohh my tooth is hurts ohh  im sad it very hurts","0","1"
" u think u have bills Ha!Ii just finished paying mine that`s y I`m broke","0","1"
" Not sure it didn`t say it was 2 big. I jst saw the pics of u on ur last bday. You looked so pretty!! I miss you!!","0","0"
"sore throat. Planning the TET outing to Marwell though...good times","0","0"
"mcfly gig last nightt omg it was amazin didnt sit down through the whole thing  mcfly did you see me and ma best mate we were in tutus","1","0"
"2 days without sleep and now a migraine. I thought life postR01 was meant to be relaxing","0","1"
" There!","0","0"
"?sucks!?..","0","1"
" whens the sway sway winner announced?","0","0"
" K will check it out...","0","0"
"I Miss Daddy and Mommy","0","1"
"I just realized that I can`t forward text msgs with my iPhone.","0","0"
"Argh noo! Missed The Killers on Wossy!  That sucks! Missed out on Brandon. Total failure! Anyone know if it`s repeated? Must investigate!","0","1"
"seriously bored without anyone to talk to... but not tired enough for sleep","0","1"
" I am lost. Please help me find a good home.","0","1"
"Ok so I`ve now got a bit of a bad back after lifting all drum hardware into my car   downer.","0","1"
" LMAO... Smh!  that one threw me off.","0","0"
" oh nice going!","1","0"
"Is getting ready for work... Working all weekend","0","0"
"Gonna celebrate Mothers Day with the family but gonna start the partying tonite","1","0"
" i agree with you!","1","0"
" I only do computers. Am hopeless at everything else","0","1"
"_2nd aww thanks!","1","0"
" Sorry RB is on PS3 for me","0","1"
"I saw amazing heeels. But they were too big","0","0"
"I just stuck my finger down my throat and there are a bunch of bumps on my tongue & throat.","0","1"
"dang last url went down  ? http://blip.fm/~7aigm","0","1"
" Damnit all. That sucks.  You were one of the ones I thought I`d drag back lol","0","1"
" my boss. She`s moving to NYC","0","0"
"this is sooo crazy i have fever..","0","1"
"is spending her Saturday morning taking notes for a research essay because some stupid **** recalled the book I`m using. Not fair","0","1"
"I think i need some new friends","0","0"
" Looking forward to your gig in Ireland!!!  See ya there!","0","0"
"Please Review Sunehre Ad Placement  http://tinyurl.com/oow6mk","1","0"
"aww  you loooove me","1","0"
"awesome lucky you","1","0"
" l`m on 3 days too matt. No fun this weekend.","0","1"
" u really don`t think so?  maybe ur right....lol. btw what phone u using? think u told me b4...i might have an app for u","0","0"
" I feel your pain. Mine is the same way","0","1"
"comes home in two days","0","0"
" Sadly no. It didn`t come with one...","0","1"
"Cant wait to see my boy tomorrow","1","0"
" ehhh no. just a check up. I have a dentist app next week though. getting my molar pulled/root canal.","0","0"
" aww I miss driving down elmwood","0","1"
"Omg Wango Tango was **** AWSOME! I love my baby for taking me","1","0"
"_30439 I really wish I could go!","1","0"
" I`m 25 in december that`s not good at all next big birthday is 30  after 21 it flys by for sure","0","1"
"  This has made my night!!  Way too funny!!","1","0"
"Woo CAVS.  Happy Mother`s Day!","1","0"
" I make that same face when I get home and your mom is watching soaps.","0","0"
"I have to go to work now.","0","0"
" I can`t believe you went and got boba without me.","0","0"
" Thanks for the warm welcome! We didn`t make plans   because our arrival time was so up in the air.","1","0"
"19 days and counting","0","0"
" sorry  friends - I`m swamped with deadlines right now and we have family visiting to boot! No charades for me.","0","1"
"BRAINFREEZE","0","0"
"Just discovered a shortcoming of Gravity. When you use Twitpic (integrated) it doesn`t subtract the pic URL from the 140 character limit","0","0"
"perky purple nail polish isn`t as perky when its chipped","0","0"
"Laying ALONE!! Since Mook`s soo comfy in his f`n play pen. I thought it was ill at first now I don`t have no one to cuddle with...","0","1"
"I hate the dentist","0","1"
"I`m taking a twitter break. Cell is dying","0","1"
" qood morninq","0","0"
"writing my english original writing storyyyyy. and listening to `a little respect` by erasure  aaaaaah.","0","0"
"needs more followers","0","0"
"I wish I could get my nails done  stupid job","0","1"
"The little wormy from labyrinth sadly passed away today but its ok as hes still around in a happy ghost form aww  http://twitpic.com/67aim","0","0"
" the 'no pants' idea could be the new attempt world-wide to attract business back to the airlines.","0","0"
" Have a good one","1","0"
"Dosen`t Want To Go To Work Tomorrow","0","1"
"Daniel has won DSDS. His voice is great.","1","0"
"[-O] i wish the birthday massacre would come to australia  i think they said they`re thinking about it tho.. http://tinyurl.com/p6lfch","0","0"
"was hoping to go to Red Lobster this weekend","0","0"
"_x_ATL u mean jack barakat`s?! wow so have u ever gone to his house? Hehe i mean ur ssoo lucky to have the address!","1","0"
"I sure do hope it becomes 4:20 this afternoon ...","1","0"
" it means that you are now FAMOUS. Congrats!","1","0"
"My phone passed away yesterday.. He jumped off the table  Searching for a new phone...","0","1"
"tamlyn wishes she was as cool as my sock draw","1","0"
" so no rice or crusty bread with the chili .... aawww","0","0"
"come and save me from my packing please?!","0","0"
" a mouth for sure","1","0"
"_dec0de I finally just have 1 hour of history... at 3.00 pm! but I went to my highschool at 8.00 am to make some homework with a friend","0","0"
" pancakes!! with lemon and sugar thanks!","1","0"
"I`m so hunrgy right now and these heels kill me I can hardly walk in them","0","1"
"both electronic keys stopped working. there is no keyhole! cant get in my car. so much for technology","0","1"
"'my name is Tony!!!!!! ...not hey!!!!' -  poor tony","0","1"
"Goodmorning","1","0"
"Took a shift tomorrow.    I don`t really feel like working right now.","0","1"
"Saw a black snake in the garden.  Went back for a picture and it was gone","0","0"
"http://twitpic.com/4wukt - We bought Ludi her own rug. Dogs are the best","1","0"
"No waterfront anymore   faccia luna and clarendon will have to do","0","1"
"loves her mum very much! Happy Mothers Day to all the wonderful mothers out there","1","0"
"Slipped up and caught the flu  feeling like poop!","0","1"
"Ok ... the passengers ... no one is alive ... they`re all dead ... you just don`t know it til the end ... then you cry ...","0","1"
"Discovered  and  are sharing on G reader with me and didn`t even know it. Sigh.... I`m such a G reader newb.","0","0"
"aaaaaw i want to live in the USA","0","0"
"Morning tweeple","1","0"
" Now you only have 2 hours to sleep...  - Rest if you need it.","1","0"
"I don`t want to sit at home on prom night. Someone hang out with me","0","1"
"Is heading home from foot surgery and wishing she had a boyfriend to come over and cuddle with","1","0"
"concert tonight  chackin out and not coming tomorrow!","0","0"
" what happened? I thought you were coming back today....","0","0"
" lol dammit  well then next time then","0","1"
" lol. just don`t ever forget me","1","0"
" Still jealous","0","1"
"http://twitpic.com/67qv3 - Me at Forever 21  Ethan couldn`t be there","0","1"
"NOW IM SAD BUT IM NOT GIVING IN FIRST..I DIDNT DO NOTHING!!!!    :**-(","0","1"
"this week of mine was not easy!  but finally it`s over! (:","0","1"
"   Wow what a beautiful picture... and by the way....I am straight....just wanted to let you know!!!     Bella","1","0"
"In Arch. Drawing. Checking out MVCC`s CAD degree. Looks good to me","1","0"
" but you always have lee. Let`s go to Paris","0","0"
" you know you want to come keep me company whilst mum`s at her friends for the night  it`s such a nice evening!","1","0"
"cooking with my dad  having lots of fun in the kitchen together","1","0"
"Bouncing Rush makes me feel nauseous","0","1"
"Off to Woolsery this morning to (hopefully) see North Molton U16 clinch the North Devon League title. Lovely day for it","1","0"
"playing singstar without my fave duetter","0","1"
"Just woke up :o mums singing to her new gn`r cd replacement i bought because im a good daughter","1","0"
" FIL 461 with cool people like me","1","0"
"Good Morning!!! Work and then it`s ESPN`s Sunday night Baseball. hopefully it won`t get rained out","1","0"
" i think it`s under a honeymoon by the good life -- either that or it`s under a honey moon by joseph arthur.","0","0"
"my son got stung by a bug for the first time  his little finger is slightly swollen.","0","1"
" it was hours ago i came in.... and it`s only now i realised when i went to buy something online","0","0"
" oh just referring to our lil exchange on LJ with regards to twitter archive postings.","0","0"
"Bumping dj opus in the drunk in the car.  lmao. Don`t act like u don`t know.","0","1"
"Why kiss the feet of the people who kick you when you can be anything that you want to?  morning everyone! Hope you have the best day ever","1","0"
"Here`s a brief preview: http://bit.ly/eHCfP   OMG James is creepy in that role! I`m scared of him","0","1"
"I`m missing crab legs and attending my going away instead!","0","1"
"Hicks are mean!","0","1"
"I`m up. I have a plan to transform my bedroom today. Random.","0","0"
" thats another sponsor","0","0"
" No it`s not sad. Should make you proud","0","1"
"is home alone.. Doing hw","0","0"
"the plan to not spend money is not going well","0","1"
"uploading all my bamboozle pictures of facebook","0","0"
" congratulations ! you guys finish a month early than we do. booo","1","0"
" but my bday is JUNE 19.. this is wack... and ihavent seen any promotions for my bday party  someone better finagle this asap!","0","1"
"_Marie Wish I could make it too!!! I hate my commute sometimes","0","0"
"workin a long day today... hopefully i can make some good tips","1","0"
" but it all went too quick and there wasn`t a chance lol","0","1"
"Hates headaches! Maybe I`m not ready to rock","0","1"
" Thanks for the support","1","0"
"there`s really no android twitter app of Tweetie`s calibre","0","0"
"Nyappy mother`s day to your mom`s.","1","0"
"yeah.... and im gonna take ur picture off my ipod baby..","0","0"
" traumatizing moment of my childhood. my dogs massacred baby bunnies and my brother and i got out the bb gun...","0","1"
" lol same here....wish there was a way to microsize everything...lol","0","0"
"About to have dinner and then an evening of playing cards. Already packed and ready to head home tomorrow   Do we have to go home?","0","0"
" im allergic to cats! my tonsils get swollen and they hurt  what do i dooo?!","0","1"
" He says he feels mama tucking him in at night  He`s lonely but getting by. Tomorrow will be tough!","0","1"
"I miss her alot and its only been one day","0","1"
" sounds like you all had a great night . i`m glad it was successful","1","0"
" Thanks for sharing that","1","0"
" you should say mlia instead of fml  i hope you find it soon","1","0"
" nah jkin he`s hot! so... bored now","0","0"
"Ahhh i`m sqeaky clean and fresh. Even though i`m wearing dirty clothes  I love Two and a Half Men - it`s amazing!","1","0"
" yes i have read them many times.","0","0"
" Cuz you play a grown up on Twitter?","0","0"
"i am living in ignorance  :@","0","1"
" nope... it is telling you that you want cameo creams","0","0"
" AWWWW  we`re gonna miss you!","0","1"
" WE Quite Like Worthing its a relaxing place with nice coffee shops and fresh air.. and not too many Oiks","1","0"
"today was a lovely day! I had fun with  and  this evening!","1","0"
" Beto`s Pizzeria is on Banksville Rd in I believe the Beachview area... Sorry to answer like 100 years later","0","1"
" it was amazing","1","0"
"@ Barbs trying to figure out y the dsl aint connecting. I need my google. Going home to my computer if it don`t start working soon. SMH","0","0"
"I`m sick and sad .... missing out on Martini Lounge tonight","0","1"
"Seems really quiet tonight...am jealous of those who are clearly having a more exciting life than me   Off to bed I think...","0","0"
"Really wishes he had some spare cash to buy the new Punch Out for Wii","0","1"
" So sorry to hear about your mom! that really sucks","0","1"
" I feel for you  I hope it`s a smooth flight. Be safe! Mucho amor from Boston!","1","0"
"Can`t sleep...so I`m watching HGTV. I`m afraid infomercials are about to take over","0","1"
"I`m getting me & my family ready for Kaylee`s graduation! It`s gonna make me so sad.","0","1"
" sweet dreams","1","0"
" hay wats ur AIM? we should chat","0","0"
". Okay kool... I might be touring all summer long but we can make it happen!","0","0"
"IN PAIN. my big toe got stomped on during the hokey cokeu. it`s throbbing. anyone have any suggestions to heal it?","0","1"
"Having dinner with my grandma since I couldn`t be with my mum.","0","0"
" haha thanks  its for history and its on how the invention of television has influence america lol","1","0"
" yea so wassup","0","0"
"Shopped til i dropped....come bac sunshine i miss u","0","1"
" Thank you   I`ve had anxiety issues for years so I think if I can make it through the first couple of days then I will be fine.","0","0"
"Around 3 hours left until a 3 day weekend and I have waaaay too much work to do.","0","0"
"Feeling loved!  My Mom got me a Nikon Cool Pix for my birthday!!!!","1","0"
" Yes! Join us! All we require is a cupcake donation...","0","0"
"i have such a hard time talking to new people -  I am pretty sure I didn`t make a good impression.....","0","1"
"_rc234 haha  yup. but still have a terrible headache and super swollen and puffy eyes! i dont think im going out today.ugh!","0","1"
" Can`t access your site!","0","0"
"And the Sun is shinning.........at last","1","0"
" nup no cd either.. just a whole bunch of zeros and ones you can have for free","0","0"
"My graduation day... And i feel like a failure...","0","0"
"ops   that lol wasnt supposed to got to twitter","0","0"
" What are u going to do today my girl?","0","0"
"why doesnt he want me anymore","0","1"
"bad hair day","0","1"
".....headache","0","1"
"sorry guys i didn`t sign in for a while  sorry every1","0","1"
"mozart`s requiem!","0","0"
"_a_michael Hey! thanks for another great day! I`m going to sleep now! I`ll chat with you tomorrow!  Sweet dreams!","1","0"
" no bueno.  hollykins needs to feel better asap.  p.s. i miss you.  you done with uni soon aren`t you?  SOPROUDOFYOU.","0","0"
"happy mother`s day mothers.","1","0"
"<---My expression watching this again: http://tinyurl.com/eqbwe","0","0"
"Stupid bipolar weather ruined my day off","0","1"
" I didn`t want to tell you but I think it`s your body odour","0","1"
" nice beta for easports still no news on the online for madden","0","0"
" thats pretty bad quality and probably the worst pic u posted till date","0","1"
"I missed your calls","0","1"
" Unfortunately for us it looks like there are NO funny people on twitter  Should we move to FB or start our own...flitter","0","1"
"just came back from karaoke & eating dinner with emily. it was sooooo much fun","1","0"
" Discrimination is not a bad thing. I`ve learned to say no. My children would say I mastered that years ago","1","0"
" sure i can talk....the fabulous **** part though is out  sorry dear","0","0"
"Just got back from working out. I`m feeling pretty good. work at 4:30","1","0"
"Ahhh My Satz blend didn`t save","0","0"
"DH is just about finished making his giant Trio candy bar. Thank the heavens. His work mates are in for a treat tomorrow!","1","0"
"My ear are popping.","0","0"
"working on diffusing that irritation but this traffic sure isn`t helping  mother F! it`s always real bad the days th@ i help plan stuff","0","1"
" I submitted my resume the same day and saw no answer back. Oh well...","0","1"
"Catching up on 2 weeks of LOST and Grey`s!!    House is quiet again.","0","0"
"I love when ryans a housewife. Makes me smile.","1","0"
"Sooo.....I`m kinda o sick n tired of the bs that guys dish out  !!!!!!!!","0","1"
" boo... i was hoping for a fake alien story with a tinfoil covered beachball photo","0","1"
" hey Phillll! Wazzuppppp?!","0","0"
"missed out on westcott micro apollo too","0","1"
" .. .great.. you can buy me lunch when i get my 10-15% pay cut next month..","1","0"
"_ranjan Did I ever mention what a nice and awesome dude you are?","1","0"
" Hello Gorgeous GIRL! Nice new pic!  HOw are you today","1","0"
"Ok that **** duet was hysterical LOL","1","0"
"michelle is a hot mama with chichis grande","0","0"
" no one I know likes boiled peanuts t.","0","0"
"I`m sleepy but is feeling under the weather! ugh! These **** tonsils. I need some company or somebody to talk too!","0","1"
" Please get a cell phone with a better camera on it... your pictures are real bad quality compared to those that Miley took","0","0"
